Main New Gloss Cat,Consultant,Main New Gloss,Gloss Variant,D Start HS,N-D Start HS,D End HS,N-D End HS,Passive Arm,Combined,Separate,Session,Scene,Start,End,Combined,Separate
,Tyler,LONELY,LONELY+,1,,1,,N,MOV,MOV,ASL_2008_06_10,4,845,902,MOV,MOV
,Naomi,LONELY,LONELY+,1,,1,,N,,MOV,ASL_2008_08_13_session2,7,540,575,,MOV
,Brady,LONELY,LONELY+,1,,1,,N,,MOV,ASL_2011_06_14_Brady,51,80,119,,MOV
BACHELOR,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,BACHELOR,SINGLE,1,,1,,N,MOV,MOV,ASL_2008_02_29,32,2629,2675,MOV,MOV
,Brady,BACHELOR,SINGLE,D,,D,,N,,MOV,ASL_2011_07_19_Brady,83,2957,2992,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,BACHELOR,SWINGING-SINGLE,1,,1,,N,MOV,MOV,ASL_2008_02_29,32,3431,3525,MOV,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,BACHELOR,BACHELOR,B,,B,,N,,MOV,ASL_2008_01_11,28,315,350,,MOV
,Tyler,BACHELOR,BACHELOR,B,,B,,N,MOV,MOV,ASL_2008_05_12a,18,1000,1025,MOV,MOV
,Naomi,BACHELOR,BACHELOR,B,,B,,N,,MOV,ASL_2008_08_04,18,1080,1105,,MOV
,Brady,BACHELOR,BACHELOR,B,,B,,N,,MOV,ASL_2011_06_08_Brady,15,233,263,,MOV
SOMETHING/ONE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,SOMETHING/ONE,SOMETHING/ONE,1,,1,,N,MOV,MOV,ASL_2008_02_29,38,1230,1272,MOV,MOV
ALWAYS,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ALWAYS,ALWAYS,1,,1,,N,,MOV,ASL_2008_01_11,13,315,370,,MOV
,Tyler,ALWAYS,ALWAYS,1,,1,,N,MOV,MOV,ASL_2008_05_12a,10,1810,1850,MOV,MOV
,Naomi,ALWAYS,ALWAYS,1,,1,,N,,MOV,ASL_2008_08_04,9,1571,1635,,MOV
,Brady,ALWAYS,ALWAYS,1,,1,,N,,MOV,ASL_2011_06_08_Brady,11,2592,2620,,MOV
WAIT-A-MINUTE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,WAIT-A-MINUTE,WAIT-A-MINUTE,1,,1,,N,MOV,MOV,ASL_2008_03_28,34,375,412,MOV,MOV
,Brady,WAIT-A-MINUTE,WAIT-A-MINUTE,1,,1,,N,,MOV,ASL_2011_07_22_Brady,22,1647,1697,,MOV
ONE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ONE,ONE,1,,1,,N,,MOV,ASL_2008_01_11,4,2145,2185,,MOV
,Tyler,ONE,ONE,1,,1,,N,,MOV,ASL_2008_05_12a,3,1325,1380,,MOV
,Brady,ONE,ONE,1,,1,,N,MOV,MOV,ASL_2011_06_08_Brady,4,4203,4214,MOV,MOV
,Lana,ONE,ONE,1,,1,,N,,MOV,ASL_2006_10_10,20,1338,1366,,MOV
,Dana,ONE,ONE,1,,1,,N,,MOV,ASL_2007_05_24,22,1269,1277,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Naomi,ONE,ONE_2,D,,D,,N,MOV,MOV,ASL_2008_08_04,3,1626,1650,MOV,MOV
A,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,A,A,A,,A,,N,,MOV,ASL_2008_01_11,4,2345,2370,,MOV
,Tyler,A,A,A,,A,,N,MOV,MOV,ASL_2008_05_12a,3,1550,1600,MOV,MOV
,Naomi,A,A,A,,A,,N,,MOV,ASL_2008_08_04,3,1830,1850,,MOV
,Brady,A,A,A,,A,,N,,MOV,ASL_2011_06_08_Brady,6,7024,7048,,MOV
LITTLE-BIT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LITTLE-BIT,LITTLE-BIT,X-over-thumb,,10,,N,,MOV,ASL_2008_01_11,4,3030,3056,,MOV
,Tyler,LITTLE-BIT,LITTLE-BIT++,X-over-thumb,,A,,N,MOV,MOV,ASL_2008_05_12a,3,1790,1850,MOV,MOV
,Naomi,LITTLE-BIT,LITTLE-BIT,X-over-thumb,,10,,N,,MOV,ASL_2008_08_04,3,2040,2066,,MOV
,Brady,LITTLE-BIT,LITTLE-BIT,X-over-thumb,,10,,N,,MOV,ASL_2011_06_08_Brady,6,7322,7339,,MOV
ABANDON,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ABANDON,ABANDON,S,S,5,5,N,,MOV,ASL_2008_01_11,5,180,206,,MOV
,Tyler,ABANDON,ABANDON,S,S,5,5,N,MOV,MOV,ASL_2008_05_12a,3,2227,2249,MOV,MOV
,Brady,ABANDON,ABANDON,S,S,5,5,N,,MOV,ASL_2011_06_08_Brady,6,7839,7854,,MOV
THROW-AWAY,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Naomi,THROW-AWAY,THROW-AWAY,cocked-S,cocked-S,1,1,N,MOV,MOV,ASL_2008_08_04,3,2768,2786,MOV,MOV
ABORTION,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ABORTION,ABORTION,crvd-5,B-L,5,B-L,N,MOV,MOV,ASL_2008_01_11,5,450,480,MOV,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Naomi,ABORTION,ABORTION_2,5-C-L,5,5,5,N,MOV,MOV,ASL_2008_08_04,4,548,575,MOV,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,ABORTION,(1h)ABORTION,5,,5,,N,MOV,MOV,ASL_2010_08_10_Liz_additional_lexicon_signs,5,1098,1163,MOV,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,ABORTION,(S)ABORTION,S,B-L,crvd-5,B-L,N,MOV,MOV,ASL_2008_05_12a,4,375,400,MOV,MOV
ABOVE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ABOVE,ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,MOV,MOV,ASL_2008_01_11,5,1296,1325,MOV,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Naomi,ABOVE,ABOVE_2,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,MOV,MOV,ASL_2008_08_04,4,2288,2317,MOV,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,ABOVE,ABOVE_3,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,MOV,MOV,ASL_2008_05_12a,4,772,810,MOV,MOV
,Tyler,ABOVE,ABOVE_3,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,,MOV,ASL_2008_05_12a,4,969,1006,,MOV
EXCEED,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,EXCEED,EXCEED,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,,MOV,ASL_2008_01_11,5,1000,1031,,MOV
,Liz,EXCEED,EXCEED,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,MOV,MOV,ASL_2008_01_18,35,1580,1615,MOV,MOV
,Naomi,EXCEED,EXCEED,bent-B,bent-B,bent-B,bent-B,N,,MOV,ASL_2008_08_06,35,1402,1421,,MOV
,Brady,EXCEED,EXCEED,bent-B,bent-B,bent-B,bent-B,N,,MOV,ASL_2011_06_14_Brady,14,3085,3105,,MOV
A-LEVEL-ABOVE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,A-LEVEL-ABOVE,A-LEVEL-ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,MOV,MOV,ASL_2008_02_15,50,420,450,MOV,MOV
,Brady,A-LEVEL-ABOVE,A-LEVEL-ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,,MOV,ASL_2011_07_19_Brady,44,3575,3594,,MOV
ADULT-TALL,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ADULT-TALL,ADULT,bent-B-L,,bent-B-L,,N,,MOV,ASL_2008_03_28,4,2781,2801,,MOV
,Liz,ADULT-TALL,ADULT,bent-B-L,,bent-B-L,,N,MOV,MOV,ASL_2010_08_10_Liz_additional_lexicon_signs,1,785,830,MOV,MOV
,Brady,ADULT-TALL,ADULT,bent-B-L,,bent-B-L,,N,,MOV,ASL_2011_07_19_Brady,109,517,535,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,ADULT-TALL,ADULT-pl,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,MOV,MOV,ASL_2010_08_10_Liz_additional_lexicon_signs,1,980,1011,MOV,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,ADULT-TALL,ADULT-TALL,bent-B-L,,bent-B-L,,N,,MOV,ASL_2008_02_01,4,1850,1915,,MOV
,Tyler,ADULT-TALL,ADULT-TALL,bent-B-L,,bent-B-L,,N,MOV,MOV,ASL_2008_05_29a,36,1260,1305,MOV,MOV
,Naomi,ADULT-TALL,ADULT-TALL,bent-B-L,,bent-B-L,,N,,MOV,ASL_2008_08_13,4,2690,2720,,MOV
,Brady,ADULT-TALL,ADULT-TALL,bent-B-L,,bent-B-L,,N,,MOV,ASL_2011_06_14_Brady,25,5150,5178,,MOV
CHILD,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,CHILD,CHILD+,B-L,,B-L,,N,,MOV,ASL_2008_01_11,74,1011,1051,,MOV
,Naomi,CHILD,CHILD+,B-L,,B-L,,N,MOV,MOV,ASL_2008_08_04,47,800,830,MOV,MOV
,Brady,CHILD,CHILD+,B-L,,B-L,,N,,MOV,ASL_2011_06_08_Brady,27,6903,6925,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,CHILD,CHILDREN++,B-L,B-L,B-L,B-L,N,,MOV,ASL_2008_05_12a,45,651,682,,MOV
,Tyler,CHILD,CHILDREN++,B-L,B-L,B-L,B-L,N,MOV,MOV,ASL_2008_05_12a,45,910,941,MOV,MOV
,Naomi,CHILD,CHILDREN+,B-L,B-L,B-L,B-L,N,,MOV,ASL_2008_08_04,47,1035,1060,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,CHILD,(1h)CHILDREN+,B-L,,B-L,,N,MOV,MOV,ASL_2008_01_11,74,1255,1290,MOV,MOV
,Brady,CHILD,(1h)CHILDREN++,B-L,,B-L,,N,,MOV,ASL_2011_06_08_Brady,27,7121,7150,,MOV
GROW-UP,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,GROW-UP,GROW-UP,B-L,,B-L,,N,MOV,MOV,ASL_2008_02_29,5,2775,2835,MOV,MOV
,Brady,GROW-UP,GROW-UP,bent-B,,bent-B,,N,,MOV,ASL_2011_07_19_Brady,50,1802,1831,,MOV
MAXIMUM,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,MAXIMUM,MAXIMUM,B-L,B-L,B-L,B-L,N,MOV,MOV,ASL_2008_02_15,5,2655,2710,MOV,MOV
,Tyler,MAXIMUM,MAXIMUM++,B-L,B-L,B-L,B-L,N,,MOV,ASL_2008_06_10,15,1820,1860,,MOV
MORE-THAN,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Naomi,MORE-THAN,MORE-THAN,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,MOV,MOV,ASL_2008_08_04,4,2657,2675,MOV,MOV
LESS-THAN,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LESS-THAN,LESS-THAN,bent-B,bent-B,bent-B,bent-B,N,,MOV,ASL_2008_01_11,40,495,520,,MOV
,Tyler,LESS-THAN,LESS-THAN,bent-B-L,bent-B-L,B-L,bent-B-L,N,,MOV,ASL_2008_05_12a,25,3850,3876,,MOV
,Naomi,LESS-THAN,LESS-THAN,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,MOV,MOV,ASL_2008_08_04,26,3140,3165,MOV,MOV
,Naomi,LESS-THAN,LESS-THAN,bent-B-L,bent-B-L,B-L,bent-B-L,N,,MOV,ASL_2008_08_04,26,3380,3400,,MOV
,Brady,LESS-THAN,LESS-THAN,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,,MOV,ASL_2011_06_08_Brady,19,5325,5353,,MOV
THAN,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,THAN,THAN,B,B,B,Rlxd,N,MOV,MOV,ASL_2008_03_28,8,2316,2329,MOV,MOV
,Brady,THAN,THAN,B-L,bent-B-L,B-L,bent-B-L,N,,MOV,ASL_2011_07_19_Brady,112,2328,2339,,MOV
UNDER,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,UNDER,UNDER,10,B-L,10,B-L,N,,MOV,ASL_2008_03_28,27,1360,1390,,MOV
,Brady,UNDER,UNDER,10,B-L,10,B-L,N,MOV,MOV,ASL_2011_07_22_Brady,15,2378,2396,MOV,MOV
,Brady,UNDER,UNDER,10,B-L,10,B-L,N,,MOV,ASL_2011_07_22_Brady,56,1880,1900,,MOV
BASEMENT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Tyler,BASEMENT,BASEMENT+,10,B-L,10,B-L,N,,MOV,ASL_2008_05_12a,21,715,760,,MOV
,Naomi,BASEMENT,BASEMENT+,10,B-L,10,B-L,N,MOV,MOV,ASL_2008_08_04,21,1422,1470,MOV,MOV
,Brady,BASEMENT,BASEMENT+,10,flat-B,10,10,N,,MOV,ASL_2011_06_08_Brady,16,8165,8191,,MOV
UPPER,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,UPPER,UPPER,B-L,,B-L,,N,MOV,MOV,ASL_2008_03_28,28,2505,2535,MOV,MOV
,Brady,UPPER,UPPER,B,,B,,N,,MOV,ASL_2011_07_22_Brady,17,964,994,,MOV
BELOW,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,BELOW,BELOW,B,B-L,B-L,B-L,N,,MOV,ASL_2008_01_11,40,725,751,,MOV
,Tyler,BELOW,BELOW,B-L,B-L,B-L,B-L,N,MOV,MOV,ASL_2008_05_12a,25,3530,3556,MOV,MOV
,Brady,BELOW,BELOW,B,bent-B-L,B,bent-B-L,N,,MOV,ASL_2011_06_08_Brady,19,5860,5887,,MOV
,Brady,BELOW,BELOW,B,B-L,B,B-L,N,,MOV,ASL_2011_07_22_Brady,38,2532,2564,,MOV
BELOW,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Naomi,BELOW_2,BELOW_2+,B-L,B-L,B-L,B-L,N,MOV,MOV,ASL_2008_08_04,22,860,908,MOV,MOV
,Brady,BELOW_2,BELOW_2+,B-L,B-L,B-L,B-L,N,,MOV,ASL_2011_06_08_Brady,16,8461,8496,,MOV
ELEMENTARY,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ELEMENTARY,ELEMENTARY,E,flat-B,E,flat-B,N,,MOV,ASL_2008_01_18,30,705,745,,MOV
,Tyler,ELEMENTARY,ELEMENTARY++,loose-E,B-L,loose-E,B-L,N,MOV,MOV,ASL_2008_05_29a,10,470,515,MOV,MOV
,Naomi,ELEMENTARY,ELEMENTARY++,loose-E,B-L,loose-E,B-L,N,,MOV,ASL_2008_08_06,30,581,616,,MOV
,Brady,ELEMENTARY,ELEMENTARY++,E,B-L,E,B-L,N,,MOV,ASL_2011_06_14_Brady,11,2250,2282,,MOV
ACCEPT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ACCEPT,ACCEPT,5,5,flat-O,flat-O,N,,MOV,ASL_2008_01_11,5,1565,1605,,MOV
,Tyler,ACCEPT,ACCEPT,5,5,flat-O,flat-O,N,,MOV,ASL_2008_05_12a,4,1351,1375,,MOV
,Naomi,ACCEPT,ACCEPT,5,5,flat-O,flat-O,N,MOV,MOV,ASL_2008_08_04,4,2903,2930,MOV,MOV
,Lana,ACCEPT,ACCEPT,5,5,flat-O,flat-O,N,,MOV,ASL_2006_10_10,2,272,283,,MOV
,Dana,ACCEPT,ACCEPT,5,5,flat-O,flat-O,N,,MOV,ASL_2007_05_24,5,278,317,,MOV
ACCIDENT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ACCIDENT,ACCIDENT,S,S,S,S,N,MOV,MOV,ASL_2008_01_11,5,2015,2041,MOV,MOV
,Naomi,ACCIDENT,ACCIDENT,S,S,S,S,N,,MOV,ASL_2008_08_04,4,3407,3438,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,ACCIDENT,(5)ACCIDENT,5,5,A,A,N,,MOV,ASL_2008_01_11,5,1795,1840,,MOV
,Naomi,ACCIDENT,(5)ACCIDENT,5,5,10,10,N,MOV,MOV,ASL_2008_08_04,4,3147,3174,MOV,MOV
,Lana,ACCIDENT,(5)ACCIDENT,5,5,S,S,N,,MOV,ASL_2006_10_10,2,519,562,,MOV
,Dana,ACCIDENT,(5)ACCIDENT,5,5,S,S,N,,MOV,ASL_2007_05_24,5,632,660,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,ACCIDENT,(3)ACCIDENT,3,3,S,A,N,MOV,MOV,ASL_2008_05_12a,4,1705,1725,MOV,MOV
CRASH,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,(5)CRASH,(5)CRASH,5,B-L,S,B-L,N,,MOV,ASL_2008_01_18,8,266,297,,MOV
,Tyler,(5)CRASH,(5)CRASH,5,B-L,A,B-L,N,MOV,MOV,ASL_2008_05_12b,7,3299,3335,MOV,MOV
,Naomi,(5)CRASH,(5)CRASH,5,5,A,5,N,,MOV,ASL_2008_08_06,7,4397,4430,,MOV
,Brady,(5)CRASH,(5)CRASH,5,5,S,5,N,,MOV,ASL_2011_06_08_Brady,31,3061,3084,,MOV
ACCOMPANY,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ACCOMPANY,ACCOMPANY,A,A,A,A,N,MOV,MOV,ASL_2008_01_11,5,2241,2280,MOV,MOV
,Naomi,ACCOMPANY,ACCOMPANY,A,A,A,A,N,,MOV,ASL_2008_08_04,4,3809,3828,,MOV
TOGETHER/GO-STEADY,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,TOGETHER/GO-STEADY,TOGETHER/GO-STEADY+++,A,A,A,A,N,,MOV,ASL_2008_02_01,8,280,360,,MOV
,Liz,TOGETHER/GO-STEADY,TOGETHER/GO-STEADY+,10,10,10,10,N,,MOV,ASL_2008_03_28,19,1425,1460,,MOV
,Naomi,TOGETHER/GO-STEADY,TOGETHER/GO-STEADY++,A,A,A,A,N,MOV,MOV,ASL_2008_08_13,6,3900,3940,MOV,MOV
,Brady,TOGETHER/GO-STEADY,TOGETHER/GO-STEADY++,A,A,A,A,N,,MOV,ASL_2011_06_14_Brady,27,1225,1263,,MOV
,Brady,TOGETHER/GO-STEADY,TOGETHER/GO-STEADY++,A,A,A,A,N,,MOV,ASL_2011_07_22_Brady,7,1764,1811,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,TOGETHER/GO-STEADY,ALL-TOGETHER,A,A,A,A,N,,MOV,ASL_2008_01_11,12,1510,1555,,MOV
,Tyler,TOGETHER/GO-STEADY,ALL-TOGETHER,A,A,A,A,N,MOV,MOV,ASL_2008_05_12a,10,1590,1630,MOV,MOV
,Naomi,TOGETHER/GO-STEADY,ALL-TOGETHER,A,A,A,A,N,,MOV,ASL_2008_08_04,9,1237,1277,,MOV
GO-STEADY,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Tyler,(1)GO-STEADY,(1)GO-STEADY+,1,1,1,1,N,MOV,MOV,ASL_2008_05_29a,38,3070,3145,MOV,MOV
BLAME,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,BLAME,BLAME,10,A,10,A,N,,MOV,ASL_2008_01_11,6,1005,1040,,MOV
,Liz,BLAME,BLAME,10,A,10,A,N,,MOV,ASL_2008_01_11,45,535,560,,MOV
,Tyler,BLAME,BLAME,10,A,10,A,N,,MOV,ASL_2008_05_12a,6,3517,3540,,MOV
,Tyler,BLAME,BLAME,10,S,10,S,N,MOV,MOV,ASL_2008_05_12a,28,710,740,MOV,MOV
,Naomi,BLAME,BLAME,10,A,10,A,N,,MOV,ASL_2008_08_04,4,4460,4490,,MOV
,Naomi,BLAME,BLAME,10,S,10,S,N,,MOV,ASL_2008_08_04,29,1030,1047,,MOV
,Brady,BLAME,BLAME,10,10,10,10,N,,MOV,ASL_2011_06_08_Brady,21,10451,10463,,MOV
,Brady,BLAME,BLAME,10,Rlxd,10,Rlxd,Y,,MOV,ASL_2011_07_22_Brady,38,3002,3025,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,BLAME,BLAME-1p,10,S,10,S,N,MOV,MOV,ASL_2008_02_15,14,751,810,MOV,MOV
,Brady,BLAME,BLAME-1p,10,10,10,10,N,,MOV,ASL_2011_07_22_Brady,48,532,571,,MOV
OVER/AFTER,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,OVER/AFTER,OVER/AFTER,B-L,B,B-L,B,N,,MOV,ASL_2008_01_11,6,1320,1360,,MOV
,Liz,OVER/AFTER,OVER/AFTER,B-L,B,B-L,B,N,,MOV,ASL_2008_01_11,9,546,580,,MOV
,Liz,OVER/AFTER,OVER/AFTER,B,B,B,B,N,,MOV,ASL_2008_02_15,28,2195,2245,,MOV
,Tyler,OVER/AFTER,OVER/AFTER,flat-B,flat-B,flat-B,flat-B,N,MOV,MOV,ASL_2008_05_12a,6,3730,3760,MOV,MOV
,Tyler,OVER/AFTER,OVER/AFTER,B-L,B,B-L,B,N,,MOV,ASL_2008_05_12a,8,360,387,,MOV
,Naomi,OVER/AFTER,OVER/AFTER,B-L,B,B-L,B,N,,MOV,ASL_2008_08_04,5,410,425,,MOV
,Naomi,OVER/AFTER,OVER/AFTER,B-L,B,B-L,B,N,,MOV,ASL_2008_08_04,7,395,418,,MOV
,Brady,OVER/AFTER,OVER/AFTER,B-L,B,B-L,B,N,,MOV,ASL_2011_06_08_Brady,9,6594,6614,,MOV
ACT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ACT,ACT++,A,A,A,A,N,,MOV,ASL_2008_01_11,6,1605,1670,,MOV
,Liz,ACT,ACT+,A,A,A,A,N,,MOV,ASL_2008_01_18,23,1387,1445,,MOV
,Tyler,ACT,ACT++,10,10,10,10,N,,MOV,ASL_2008_05_12a,6,3940,3985,,MOV
,Tyler,ACT,ACT++,10,10,10,10,N,MOV,MOV,ASL_2008_05_29a,3,1620,1665,MOV,MOV
,Naomi,ACT,ACT+,A,A,A,A,N,,MOV,ASL_2008_08_04,5,597,658,,MOV
,Naomi,ACT,ACT+,A,A,A,A,N,,MOV,ASL_2008_08_06,23,1290,1342,,MOV
,Brady,ACT,ACT+,A,A,A,A,N,,MOV,ASL_2011_06_14_Brady,6,7080,7105,,MOV
,Brady,ACT,ACT+,10,10,10,10,N,,MOV,ASL_2011_07_22_Brady,42,454,489,,MOV
AGGRESSIVE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,AGGRESSIVE,AGGRESSIVE++,A,A,A,A,N,,MOV,ASL_2008_01_11,13,520,575,,MOV
,Tyler,AGGRESSIVE,AGGRESSIVE+,A,10,A,10,N,,MOV,ASL_2008_05_12a,8,1600,1627,,MOV
,Naomi,AGGRESSIVE,AGGRESSIVE+,A,A,A,A,N,MOV,MOV,ASL_2008_08_04,9,2007,2047,MOV,MOV
,Brady,AGGRESSIVE,AGGRESSIVE+,10,10,10,10,N,,MOV,ASL_2011_06_08_Brady,9,12148,12175,,MOV
,Brady,AGGRESSIVE,AGGRESSIVE+,A,A,A,A,N,,MOV,ASL_2011_06_08_Brady,11,2822,2852,,MOV
ADD,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ADD,ADD,crvd-5,crvd-5,flat-O,flat-O,N,,MOV,ASL_2008_01_11,6,2515,2560,,MOV
,Liz,ADD,ADD,crvd-5,crvd-5,flat-O,flat-O,N,MOV,MOV,ASL_2008_01_11,6,2820,2860,MOV,MOV
,Naomi,ADD,ADD,crvd-5,crvd-5,flat-O,flat-O,N,,MOV,ASL_2008_08_04,5,1557,1580,,MOV
,Naomi,ADD,ADD,crvd-5,crvd-5,flat-O,flat-O,N,,MOV,ASL_2008_08_04,9,3660,3690,,MOV
TOTAL,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Tyler,TOTAL,TOTAL,crvd-5,crvd-5,flat-O,flat-O,N,,MOV,ASL_2008_05_12a,6,4855,4881,,MOV
,Tyler,TOTAL,TOTAL,crvd-5,crvd-5,flat-O,flat-O,N,MOV,MOV,ASL_2008_05_12a,6,5170,5200,MOV,MOV
