consultant,gloss,gloss_variant,session,scene,start,end
Tyler,ABOVE,ABOVE_3,ASL_2008_05_12a,4,772,810
Tyler,ABOVE,ABOVE_3,ASL_2008_05_12a,4,969,1006
Liz,EXCEED,EXCEED,ASL_2008_01_11,5,1000,1031
Liz,EXCEED,EXCEED,ASL_2008_01_18,35,1580,1615
Naomi,EXCEED,EXCEED,ASL_2008_08_06,35,1402,1421
Brady,EXCEED,EXCEED,ASL_2011_06_14_Brady,14,3085,3105
Liz,A-LEVEL-ABOVE,A-LEVEL-ABOVE,ASL_2008_02_15,50,420,450
Brady,A-LEVEL-ABOVE,A-LEVEL-ABOVE,ASL_2011_07_19_Brady,44,3575,3594
Liz,ADULT-TALL,ADULT,ASL_2008_03_28,4,2781,2801
Liz,ADULT-TALL,ADULT,ASL_2010_08_10_Liz_additional_lexicon_signs,1,785,830
Brady,ADULT-TALL,ADULT,ASL_2011_07_19_Brady,109,517,535
Liz,ADULT-TALL,ADULT-pl,ASL_2010_08_10_Liz_additional_lexicon_signs,1,980,1011
Liz,ADULT-TALL,ADULT-TALL,ASL_2008_02_01,4,1850,1915
Tyler,ADULT-TALL,ADULT-TALL,ASL_2008_05_29a,36,1260,1305
Naomi,ADULT-TALL,ADULT-TALL,ASL_2008_08_13,4,2690,2720
Brady,ADULT-TALL,ADULT-TALL,ASL_2011_06_14_Brady,25,5150,5178
Liz,CHILD,CHILD+,ASL_2008_01_11,74,1011,1051
Naomi,CHILD,CHILD+,ASL_2008_08_04,47,800,830
Brady,CHILD,CHILD+,ASL_2011_06_08_Brady,27,6903,6925
Tyler,CHILD,CHILDREN++,ASL_2008_05_12a,45,651,682
Tyler,CHILD,CHILDREN++,ASL_2008_05_12a,45,910,941
Naomi,CHILD,CHILDREN+,ASL_2008_08_04,47,1035,1060
Liz,CHILD,(1h)CHILDREN+,ASL_2008_01_11,74,1255,1290
Brady,CHILD,(1h)CHILDREN++,ASL_2011_06_08_Brady,27,7121,7150
Liz,GROW-UP,GROW-UP,ASL_2008_02_29,5,2775,2835
Brady,GROW-UP,GROW-UP,ASL_2011_07_19_Brady,50,1802,1831
Liz,MAXIMUM,MAXIMUM,ASL_2008_02_15,5,2655,2710
Tyler,MAXIMUM,MAXIMUM++,ASL_2008_06_10,15,1820,1860
Naomi,MORE-THAN,MORE-THAN,ASL_2008_08_04,4,2657,2675
Liz,LESS-THAN,LESS-THAN,ASL_2008_01_11,40,495,520
Tyler,LESS-THAN,LESS-THAN,ASL_2008_05_12a,25,3850,3876
Naomi,LESS-THAN,LESS-THAN,ASL_2008_08_04,26,3140,3165
Naomi,LESS-THAN,LESS-THAN,ASL_2008_08_04,26,3380,3400
Brady,LESS-THAN,LESS-THAN,ASL_2011_06_08_Brady,19,5325,5353
Liz,THAN,THAN,ASL_2008_03_28,8,2316,2329
Brady,THAN,THAN,ASL_2011_07_19_Brady,112,2328,2339
Liz,UNDER,UNDER,ASL_2008_03_28,27,1360,1390
Brady,UNDER,UNDER,ASL_2011_07_22_Brady,15,2378,2396
Brady,UNDER,UNDER,ASL_2011_07_22_Brady,56,1880,1900
Tyler,BASEMENT,BASEMENT+,ASL_2008_05_12a,21,715,760
Naomi,BASEMENT,BASEMENT+,ASL_2008_08_04,21,1422,1470
Brady,BASEMENT,BASEMENT+,ASL_2011_06_08_Brady,16,8165,8191
Liz,UPPER,UPPER,ASL_2008_03_28,28,2505,2535
Brady,UPPER,UPPER,ASL_2011_07_22_Brady,17,964,994
Liz,BELOW,BELOW,ASL_2008_01_11,40,725,751
Tyler,BELOW,BELOW,ASL_2008_05_12a,25,3530,3556
Brady,BELOW,BELOW,ASL_2011_06_08_Brady,19,5860,5887
Brady,BELOW,BELOW,ASL_2011_07_22_Brady,38,2532,2564
Naomi,BELOW_2,BELOW_2+,ASL_2008_08_04,22,860,908
Brady,BELOW_2,BELOW_2+,ASL_2011_06_08_Brady,16,8461,8496
Liz,ELEMENTARY,ELEMENTARY,ASL_2008_01_18,30,705,745
Tyler,ELEMENTARY,ELEMENTARY++,ASL_2008_05_29a,10,470,515
Naomi,ELEMENTARY,ELEMENTARY++,ASL_2008_08_06,30,581,616
Brady,ELEMENTARY,ELEMENTARY++,ASL_2011_06_14_Brady,11,2250,2282
Liz,ACCEPT,ACCEPT,ASL_2008_01_11,5,1565,1605
Tyler,ACCEPT,ACCEPT,ASL_2008_05_12a,4,1351,1375
Naomi,ACCEPT,ACCEPT,ASL_2008_08_04,4,2903,2930
Lana,ACCEPT,ACCEPT,ASL_2006_10_10,2,272,283
Dana,ACCEPT,ACCEPT,ASL_2007_05_24,5,278,317
Liz,ACCIDENT,ACCIDENT,ASL_2008_01_11,5,2015,2041
Naomi,ACCIDENT,ACCIDENT,ASL_2008_08_04,4,3407,3438
Liz,ACCIDENT,(5)ACCIDENT,ASL_2008_01_11,5,1795,1840
Naomi,ACCIDENT,(5)ACCIDENT,ASL_2008_08_04,4,3147,3174
Lana,ACCIDENT,(5)ACCIDENT,ASL_2006_10_10,2,519,562
Dana,ACCIDENT,(5)ACCIDENT,ASL_2007_05_24,5,632,660
Tyler,ACCIDENT,(3)ACCIDENT,ASL_2008_05_12a,4,1705,1725
Liz,(5)CRASH,(5)CRASH,ASL_2008_01_18,8,266,297
Tyler,(5)CRASH,(5)CRASH,ASL_2008_05_12b,7,3299,3335
Naomi,(5)CRASH,(5)CRASH,ASL_2008_08_06,7,4397,4430
Brady,(5)CRASH,(5)CRASH,ASL_2011_06_08_Brady,31,3061,3084
Liz,ACCOMPANY,ACCOMPANY,ASL_2008_01_11,5,2241,2280
Naomi,ACCOMPANY,ACCOMPANY,ASL_2008_08_04,4,3809,3828
Liz,TOGETHER/GO-STEADY,TOGETHER/GO-STEADY+++,ASL_2008_02_01,8,280,360
Liz,TOGETHER/GO-STEADY,TOGETHER/GO-STEADY+,ASL_2008_03_28,19,1425,1460
Naomi,TOGETHER/GO-STEADY,TOGETHER/GO-STEADY++,ASL_2008_08_13,6,3900,3940
Brady,TOGETHER/GO-STEADY,TOGETHER/GO-STEADY++,ASL_2011_06_14_Brady,27,1225,1263
Brady,TOGETHER/GO-STEADY,TOGETHER/GO-STEADY++,ASL_2011_07_22_Brady,7,1764,1811
Liz,TOGETHER/GO-STEADY,ALL-TOGETHER,ASL_2008_01_11,12,1510,1555
Tyler,TOGETHER/GO-STEADY,ALL-TOGETHER,ASL_2008_05_12a,10,1590,1630
Naomi,TOGETHER/GO-STEADY,ALL-TOGETHER,ASL_2008_08_04,9,1237,1277
Tyler,(1)GO-STEADY,(1)GO-STEADY+,ASL_2008_05_29a,38,3070,3145
Liz,BLAME,BLAME,ASL_2008_01_11,6,1005,1040
Liz,BLAME,BLAME,ASL_2008_01_11,45,535,560
Tyler,BLAME,BLAME,ASL_2008_05_12a,6,3517,3540
Tyler,BLAME,BLAME,ASL_2008_05_12a,28,710,740
Naomi,BLAME,BLAME,ASL_2008_08_04,4,4460,4490
Naomi,BLAME,BLAME,ASL_2008_08_04,29,1030,1047
Brady,BLAME,BLAME,ASL_2011_06_08_Brady,21,10451,10463
Brady,BLAME,BLAME,ASL_2011_07_22_Brady,38,3002,3025
Liz,BLAME,BLAME-1p,ASL_2008_02_15,14,751,810
Brady,BLAME,BLAME-1p,ASL_2011_07_22_Brady,48,532,571
Liz,OVER/AFTER,OVER/AFTER,ASL_2008_01_11,6,1320,1360
Liz,OVER/AFTER,OVER/AFTER,ASL_2008_01_11,9,546,580
Liz,OVER/AFTER,OVER/AFTER,ASL_2008_02_15,28,2195,2245
Tyler,OVER/AFTER,OVER/AFTER,ASL_2008_05_12a,6,3730,3760
Tyler,OVER/AFTER,OVER/AFTER,ASL_2008_05_12a,8,360,387
Naomi,OVER/AFTER,OVER/AFTER,ASL_2008_08_04,5,410,425
Naomi,OVER/AFTER,OVER/AFTER,ASL_2008_08_04,7,395,418
Brady,OVER/AFTER,OVER/AFTER,ASL_2011_06_08_Brady,9,6594,6614
Liz,ACT,ACT++,ASL_2008_01_11,6,1605,1670
Liz,ACT,ACT+,ASL_2008_01_18,23,1387,1445
Tyler,ACT,ACT++,ASL_2008_05_12a,6,3940,3985
Tyler,ACT,ACT++,ASL_2008_05_29a,3,1620,1665
Naomi,ACT,ACT+,ASL_2008_08_04,5,597,658
Naomi,ACT,ACT+,ASL_2008_08_06,23,1290,1342
Brady,ACT,ACT+,ASL_2011_06_14_Brady,6,7080,7105
Brady,ACT,ACT+,ASL_2011_07_22_Brady,42,454,489
Liz,AGGRESSIVE,AGGRESSIVE++,ASL_2008_01_11,13,520,575
Tyler,AGGRESSIVE,AGGRESSIVE+,ASL_2008_05_12a,8,1600,1627
Naomi,AGGRESSIVE,AGGRESSIVE+,ASL_2008_08_04,9,2007,2047
Brady,AGGRESSIVE,AGGRESSIVE+,ASL_2011_06_08_Brady,9,12148,12175
Brady,AGGRESSIVE,AGGRESSIVE+,ASL_2011_06_08_Brady,11,2822,2852
Liz,ADD,ADD,ASL_2008_01_11,6,2515,2560
Liz,ADD,ADD,ASL_2008_01_11,6,2820,2860
Naomi,ADD,ADD,ASL_2008_08_04,5,1557,1580
Naomi,ADD,ADD,ASL_2008_08_04,9,3660,3690
Tyler,TOTAL,TOTAL,ASL_2008_05_12a,6,4855,4881
Tyler,TOTAL,TOTAL,ASL_2008_05_12a,6,5170,5200
Naomi,TOTAL,TOTAL,ASL_2008_08_04,5,1339,1368
Brady,TOTAL,TOTAL,ASL_2011_07_22_Brady,37,606,630
Liz,TOTAL,TOTAL_2,ASL_2008_01_11,13,1681,1725
Tyler,TOTAL,TOTAL_2,ASL_2008_05_12a,10,4206,4236
Brady,TOTAL,TOTAL_2,ASL_2011_06_08_Brady,11,7910,7936
Liz,ENTER,ENTER,ASL_2008_01_11,6,3355,3390
Liz,ENTER,ENTER,ASL_2008_01_18,32,1580,1620
Tyler,ENTER,ENTER,ASL_2008_05_12a,6,5660,5680
Tyler,ENTER,ENTER,ASL_2008_05_29a,12,1535,1565
Naomi,ENTER,ENTER,ASL_2008_08_04,5,2825,2848
Naomi,ENTER,ENTER,ASL_2008_08_06,32,1030,1065
Brady,ENTER,ENTER+,ASL_2011_06_14_Brady,56,1040,1062
Lana,ENTER,ENTER,ASL_2006_10_10,8,2584,2607
Dana,ENTER,ENTER,ASL_2007_05_24,12,2528,2568
Liz,ADMIT,ADMIT,ASL_2008_01_11,7,540,573
Naomi,ADMIT,ADMIT,ASL_2008_08_04,5,3507,3537
Tyler,ADMIT,(1h)ADMIT,ASL_2008_05_12a,6,6350,6392
Liz,ADVISE/INFLUENCE,ADVISE/INFLUENCE,ASL_2008_01_11,7,1805,1830
Liz,ADVISE/INFLUENCE,ADVISE/INFLUENCE+,ASL_2008_01_11,7,2110,2145
Tyler,ADVISE/INFLUENCE,ADVISE/INFLUENCE,ASL_2008_05_12a,7,825,850
Tyler,ADVISE/INFLUENCE,ADVISE/INFLUENCE++,ASL_2008_05_12a,7,1060,1101
Naomi,ADVISE/INFLUENCE,ADVISE/INFLUENCE,ASL_2008_08_04,6,1008,1041
Naomi,ADVISE/INFLUENCE,ADVISE/INFLUENCE+,ASL_2008_08_04,6,1328,1367
Brady,ADVISE/INFLUENCE,ADVISE/INFLUENCE,ASL_2011_06_08_Brady,9,352,365
Lana,ADVISE/INFLUENCE,ADVISE/INFLUENCE,ASL_2006_10_10,2,951,974
Dana,ADVISE/INFLUENCE,ADVISE/INFLUENCE+,ASL_2007_05_24,5,1136,1188
Liz,ADVISE/INFLUENCE,ADVISE/INFLUENCE_2,ASL_2008_02_01,31,1740,1772
Naomi,ADVISE/INFLUENCE,ADVISE/INFLUENCE_2,ASL_2008_08_13,26,3587,3610
Brady,ADVISE/INFLUENCE,ADVISE/INFLUENCE_2,ASL_2011_06_14_Brady,40,2471,2487
Liz,AFRAID,SCARE+,ASL_2008_01_11,8,805,845
Tyler,AFRAID,SCARE++,ASL_2008_05_12a,7,1560,1600
Brady,AFRAID,SCARE+,ASL_2011_06_08_Brady,9,1148,1172
Liz,AFRAID,AFRAID,ASL_2008_01_18,39,2130,2155
Liz,AFRAID,AFRAID,ASL_2008_02_29,23,1210,1246
Tyler,AFRAID,AFRAID,ASL_2008_05_29a,19,4375,4400
Naomi,AFRAID,AFRAID,ASL_2008_08_04,6,1875,1900
Naomi,AFRAID,AFRAID,ASL_2008_08_06,39,2207,2240
Brady,AFRAID,AFRAID,ASL_2011_06_14_Brady,17,312,332
Brady,AFRAID,AFRAID,ASL_2011_07_19_Brady,73,1630,1652
Lana,AFRAID,AFRAID,ASL_2006_10_10,24,2306,2319
Dana,AFRAID,AFRAID,ASL_2007_05_24,26,2381,2409
Liz,ns-AFRICA,ns-AFRICA,ASL_2008_01_11,8,1770,1815
Tyler,ns-AFRICA,ns-AFRICA,ASL_2008_05_12a,7,2495,2525
Naomi,ns-AFRICA,ns-AFRICA,ASL_2008_08_04,6,2835,2860
Brady,ns-AFRICA,ns-AFRICA,ASL_2011_06_08_Brady,9,1666,1688
Liz,(A)ns-AFRICA,(A)ns-AFRICA,ASL_2010_08_10_Liz_additional_lexicon_signs,8,1381,1445
Naomi,(A)ns-AFRICA,(A)ns-AFRICA,ASL_2008_08_04,6,2280,2325
Tyler,AFTERNOON,AFTERNOON++,ASL_2008_05_12a,8,590,625
Tyler,AFTERNOON,AFTERNOON+++,ASL_2008_05_29a,8,1272,1320
Tyler,AFTERNOON,AFTERNOON++,ASL_2008_05_29a,13,3510,3545
Naomi,AFTERNOON,AFTERNOON+,ASL_2008_08_04,7,745,765
Lana,AFTERNOON,AFTERNOON+,ASL_2006_10_10,2,1235,1264
Brady,AFTERNOON,AFTERNOON_2,ASL_2011_06_08_Brady,9,7773,7793
Dana,AFTERNOON,AFTERNOON_2,ASL_2007_05_24,5,1482,1522
Liz,ALL-AFTERNOON,ALL-AFTERNOON,ASL_2008_01_11,9,765,790
Liz,AGAIN,AGAIN,ASL_2008_01_11,9,930,965
Liz,AGAIN,AGAIN++,ASL_2008_01_11,9,1190,1260
Tyler,AGAIN,AGAIN,ASL_2008_05_12a,8,785,820
Tyler,AGAIN,AGAIN+,ASL_2008_05_12a,8,1060,1091
Naomi,AGAIN,AGAIN,ASL_2008_08_04,7,963,990
Naomi,AGAIN,AGAIN++,ASL_2008_08_04,7,1190,1250
Brady,AGAIN,AGAIN,ASL_2011_06_08_Brady,9,7979,7999
Brady,AGAIN,AGAIN+++,ASL_2011_06_14_Brady,2,1265,1341
Brady,AGAIN,AGAIN,ASL_2011_07_19_Brady,116,1860,1873
Lana,AGAIN,AGAIN,ASL_2006_10_10,2,1507,1524
Dana,AGAIN,AGAIN,ASL_2007_05_24,5,1806,1836
Brady,OFTEN,OFTEN+++,ASL_2011_06_08_Brady,21,4357,4388
Brady,OFTEN,OFTEN,ASL_2011_07_19_Brady,18,2364,2384
Dana,OFTEN,OFTEN++,ASL_2007_05_24,15,1457,1527
Liz,THOUSAND,THOUSAND,ASL_2008_03_28,15,1760,1780
Liz,MILLION,MILLION,ASL_2008_02_15,5,1287,1330
Liz,MILLION,MILLION,ASL_2008_02_15,23,1365,1410
Lana,MILLION,MILLION,ASL_2006_10_10,19,2687,2709
Dana,MILLION,MILLION,ASL_2007_05_24,21,2621,2656
Liz,BILLION,BILLION,ASL_2008_01_11,42,1405,1435
Brady,BILLION,BILLION,ASL_2011_07_19_Brady,2,2448,2485
Tyler,BILLION,BILLION_2+,ASL_2008_05_12a,27,657,710
Tyler,BILLION,BILLION_2,ASL_2008_06_10,15,717,746
Liz,OLD,OLD+,ASL_2008_01_11,9,1463,1505
Tyler,OLD,OLD++,ASL_2008_05_12a,8,1325,1377
Naomi,OLD,OLD,ASL_2008_08_04,7,1460,1487
Brady,OLD,OLD,ASL_2011_06_08_Brady,9,8308,8326
Lana,OLD,OLD_2,ASL_2006_10_10,20,1095,1125
Dana,OLD,OLD_2,ASL_2007_05_24,22,994,1044
Liz,OLD,(S)OLD,ASL_2008_02_15,23,2115,2150
Brady,OLD,(S)OLD,ASL_2011_07_19_Brady,19,322,350
Tyler,AGREE,AGREE,ASL_2008_05_12a,8,2737,2770
Naomi,AGREE,AGREE,ASL_2008_08_04,7,3592,3617
Brady,AGREE,AGREE,ASL_2011_06_08_Brady,10,371,390
Lana,AGREE,AGREE:i,ASL_2006_10_10,2,1944,1968
Dana,AGREE,AGREE:i,ASL_2007_05_24,5,2276,2315
Liz,THINK+AGREE,THINK+AGREE,ASL_2008_01_11,10,656,700
Tyler,AIR,AIR,ASL_2008_05_12a,8,3491,3520
Liz,AIRPLANE,AIRPLANE+,ASL_2008_01_11,10,1575,1605
Liz,AIRPLANE,AIRPLANE,ASL_2010_08_10_Liz_additional_lexicon_signs,8,1580,1625
Tyler,AIRPLANE,AIRPLANE+,ASL_2008_05_12a,9,327,362
Naomi,AIRPLANE,AIRPLANE+,ASL_2008_08_04,8,273,305
Brady,AIRPLANE,AIRPLANE+,ASL_2011_06_08_Brady,10,1230,1253
Brady,AIRPLANE,AIRPLANE,ASL_2011_06_08_Brady,10,1484,1511
Lana,AIRPLANE,AIRPLANE+,ASL_2006_10_10,2,1795,1821
Dana,AIRPLANE,AIRPLANE+,ASL_2007_05_24,5,2128,2167
Liz,FLY-BY-PLANE,FLY-BY-PLANE,ASL_2008_01_18,45,2570,2600
Tyler,FLY-BY-PLANE,FLY-BY-PLANE,ASL_2008_05_29a,25,3225,3250
Naomi,FLY-BY-PLANE,FLY-BY-PLANE,ASL_2008_08_06,45,3045,3065
Brady,FLY-BY-PLANE,FLY-BY-PLANE,ASL_2011_06_14_Brady,20,5233,5248
Brady,FLY-BY-PLANE,FLY-BY-PLANE,ASL_2011_07_22_Brady,43,925,949
Lana,FLY-BY-PLANE,FLY-BY-PLANE,ASL_2006_10_10,11,819,850
Dana,FLY-BY-PLANE,FLY-BY-PLANE,ASL_2007_05_24,14,729,792
Liz,ALARM,ALARM+,ASL_2008_01_11,10,1775,1805
Tyler,ALARM,ALARM++,ASL_2008_05_12a,9,537,575
Tyler,ALARM,ALARM+++,ASL_2008_05_12a,25,1281,1332
Naomi,ALARM,ALARM++,ASL_2008_08_04,8,478,527
Naomi,ALARM,ALARM+,ASL_2008_08_04,26,1493,1525
Brady,ALARM,ALARM++,ASL_2011_06_08_Brady,10,1766,1792
Liz,ALCOHOL,ALCOHOL+,ASL_2008_02_01,51,612,652
Tyler,ALCOHOL,ALCOHOL++,ASL_2008_06_10,3,627,664
Naomi,ALCOHOL,ALCOHOL+,ASL_2008_08_13_session2,6,335,361
Brady,ALCOHOL,ALCOHOL+,ASL_2011_06_14_Brady,50,2044,2078
Liz,SARCASM,SARCASM,ASL_2008_03_28,22,2796,2842
Liz,SARCASM,SARCASM,ASL_2010_08_10_Liz_additional_lexicon_signs,20,2000,2075
Brady,SARCASM,SARCASM,ASL_2011_06_14_Brady,42,942,966
Brady,SARCASM,SARCASM,ASL_2011_07_19_Brady,72,1277,1307
Brady,SARCASM,SARCASM,ASL_2011_07_22_Brady,11,1067,1102
Liz,ALL,ALL,ASL_2008_01_11,11,470,520
Tyler,ALL,ALL,ASL_2008_05_12a,9,1045,1075
Naomi,ALL,ALL,ASL_2008_08_04,8,1680,1712
Brady,ALL,ALL,ASL_2011_06_08_Brady,10,7564,7593
Lana,ALL,ALL,ASL_2006_10_10,2,2222,2254
Dana,ALL,ALL,ASL_2007_05_24,5,2573,2616
Liz,#ALL,#ALL,ASL_2008_01_11,12,275,300
Tyler,#ALL,#ALL,ASL_2008_05_12a,9,2542,2570
Naomi,#ALL,#ALL,ASL_2008_08_04,8,2922,2942
Brady,#ALL,#ALL,ASL_2011_06_08_Brady,10,7838,7857
Dana,#ALL,#ALL,ASL_2007_05_24,5,450,488
Lana,#ALL,#ALL_2,ASL_2006_10_10,2,396,416
Liz,ALL-DAY,ALL-DAY,ASL_2008_01_11,11,706,765
Tyler,ALL-DAY,ALL-DAY,ASL_2008_05_12a,9,1312,1345
Naomi,ALL-DAY,ALL-DAY,ASL_2008_08_04,8,1950,1988
Brady,ALL-DAY,ALL-DAY,ASL_2011_06_08_Brady,10,8057,8085
Liz,RUN-OUT,RUN-OUT,ASL_2008_01_11,11,950,980
Tyler,RUN-OUT,RUN-OUT,ASL_2008_05_12a,9,1612,1640
Naomi,RUN-OUT,RUN-OUT,ASL_2008_08_04,8,2210,2241
Brady,RUN-OUT,RUN-OUT,ASL_2011_06_08_Brady,10,8299,8319
Lana,RUN-OUT,RUN-OUT,ASL_2006_10_10,24,1080,1093
Liz,ALL-RIGHT,ALL-RIGHT+,ASL_2008_01_11,11,1440,1475
Tyler,ALL-RIGHT,ALL-RIGHT++,ASL_2008_05_12a,9,2300,2335
Naomi,ALL-RIGHT,ALL-RIGHT++,ASL_2008_08_04,8,2680,2722
Brady,ALL-RIGHT,ALL-RIGHT+,ASL_2011_06_08_Brady,10,8767,8789
Lana,ALL-RIGHT,ALL-RIGHT+,ASL_2006_10_10,2,2365,2396
Dana,ALL-RIGHT,ALL-RIGHT+,ASL_2007_05_24,5,2750,2781
Liz,ALLIGATOR,ALLIGATOR,ASL_2008_01_11,12,476,515
Tyler,ALLIGATOR,ALLIGATOR+,ASL_2008_05_12a,9,2821,2890
Naomi,ALLIGATOR,ALLIGATOR,ASL_2008_08_04,8,3180,3217
Brady,ALLIGATOR,ALLIGATOR,ASL_2011_06_08_Brady,10,9239,9269
Liz,ALLOW,ALLOW,ASL_2008_01_11,12,665,685
Liz,ALLOW,ALLOW,ASL_2008_02_01,47,1405,1430
Tyler,ALLOW,ALLOW,ASL_2008_05_12a,10,630,646
Tyler,ALLOW,ALLOW,ASL_2008_05_29b,19,2542,2567
Naomi,ALLOW,ALLOW,ASL_2008_08_04,9,363,377
Naomi,ALLOW,ALLOW,ASL_2008_08_13_session2,2,2517,2535
Brady,ALLOW,ALLOW,ASL_2011_06_08_Brady,10,10020,10040
Brady,ALLOW,ALLOW,ASL_2011_06_14_Brady,48,3924,3938
Liz,PERMIT,PERMIT,ASL_2008_02_15,36,752,785
Liz,PERMIT,PERMIT+,ASL_2008_02_15,49,855,897
Brady,PERMIT,PERMIT,ASL_2011_07_19_Brady,30,2981,2992
Brady,PERMIT,PERMIT,ASL_2011_07_19_Brady,43,1407,1416
Lana,PERMIT,PERMIT,ASL_2006_10_10,20,2752,2759
Dana,PERMIT,PERMIT,ASL_2007_05_24,22,2791,2806
Liz,A-LOT,A-LOT,ASL_2008_01_11,12,1060,1091
Liz,A-LOT,A-LOT,ASL_2008_02_01,25,2125,2150
Tyler,A-LOT,A-LOT,ASL_2008_05_12a,10,1350,1371
Tyler,A-LOT,A-LOT,ASL_2008_05_29a,15,1680,1711
Naomi,A-LOT,A-LOT,ASL_2008_08_04,9,815,838
Naomi,A-LOT,A-LOT,ASL_2008_08_13,21,4503,4527
Brady,A-LOT,A-LOT,ASL_2011_06_08_Brady,11,1212,1237
Brady,A-LOT,A-LOT,ASL_2011_06_14_Brady,14,3394,3420
Brady,A-LOT,A-LOT,ASL_2011_06_14_Brady,37,5364,5384
Liz,ns-AMERICA,ns-AMERICA+,ASL_2008_01_11,13,770,830
Tyler,ns-AMERICA,ns-AMERICA+,ASL_2008_05_12a,10,2655,2705
Naomi,ns-AMERICA,ns-AMERICA+,ASL_2008_08_04,9,2350,2402
Brady,ns-AMERICA,ns-AMERICA+,ASL_2011_06_08_Brady,11,4236,4264
Liz,AMONG,AMONG,ASL_2008_01_11,13,1395,1460
Brady,AMONG,AMONG_2,ASL_2011_06_08_Brady,11,7576,7605
Liz,ns-nat-AMSTERDAM,ns-nat-AMSTERDAM,ASL_2008_01_11,14,325,371
Naomi,ns-nat-AMSTERDAM,ns-nat-AMSTERDAM,ASL_2008_08_04,10,420,450
